year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1876,1633,"Rio Negro, Chile","Rio Negro, Chile",-73.2333,-40.7833,1,latlong.net,Precise location text,,188415,Rio Negro,"Rio Negro, Chile",-35.3333,-70.6667,4
1876,1750,"Besika Bay, Turkey","Besika Bay, Turkey",26.4,40.2,3,latlong.net,Bay,,71570,"Besika Bay, Turkey",Besiktas,40.9167,42.8667,3
1876,2045,El Salvador Territorial Waters,Centroid of territorial waters,-88.9364,13.2651,3,ArcGIS and Marine Regions,Territorial waters,,110700,Salvadoran Coast,"La Libertad, El Sal",13.9667,-89.6833,4
1876,3322,Western Black Sea,Western Black Sea,28.78,43.17,5,MIDLOC1.1,Sea,,67255,,west part of black sea,43.17,28.78,5
1876,3323,"Besika Bay, Turkey","Besika Bay, Turkey",26.4,40.2,3,latlong.net,Bay,,71570,"Besika Bay, Turkey",Besiktas,40.9167,42.8667,3
1877,307,"Valetta, Malta","Valetta, Malta",14.5146,35.8989,8,latlong.net,Capital,,78107,Malta,"Valetta, Malta",35.8997,14.5147,5
1877,1574,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728,4,ArcGIS and GADM,ADM1,,73083,Thessally,Thessalia,39.5,22,3
1877,1635,Austria-Italy Border,Midpoint of shared (national) border,12.215,47.0873,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,61542,Border,"Dobbiaco, Italy",46.7333,12.2481,4
1878,1510,Santa Cruz River,Midpoint of river,-70.4387,-50.2216,5,ArcGIS and EarthWorks,Point along a line,,202101,Santa Cruz River,"Santa Cruz, Argentina",-49,-70,3
1878,1518,Bolivia-Chile Border,Midpoint of shared (national) border,-68.7092,-20.3063,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,158904,,chile-bol border,-26.78,-69.44,4
1878,1573,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728,4,ArcGIS and GADM,ADM1,,73083,Thessaly,Thessalia,39.5,22,3
1878,2835,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728,4,ArcGIS and GADM,ADM1,,73083,Thessaly,Thessalia,39.5,22,3
1879,1511,"Rio Gallegos, Argentina","Rio Gallegos, Argentina",-69.2168,-51.6231,2,latlong.net,Near,,204263,"North of Rio Gallegos, Argentina",Rio Gallegos,-51.6,-68.9833,2
1879,2201,"Ryukyu Islands, Japan","Ryukyu Islands, Japan",128,26.5,4,latlong.net,Island,,90813,"Ryukyu Islands, Japan",Ryukyu Islands,26.5,128,3
1880,104,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509,3,ArcGIS and GADM,ADM2,,67202,"Ili region, Xinjiang","Ili, Kazakhstan",43.8733,77.1844,3
1880,141,"Dubrovnik, Croatia","Dubrovnik, Croatia",18.0944,42.6507,2,latlong.net,Near,,68034,,"ragusa, ott emp",42.5,18.1,2
1880,1543,Rio Grande,Midpoint of river,-63.3188,-18.8199,5,ArcGIS and Natural Earth Data,Point along a line,,156755,Rio Grande,"Rio Grande, Bolivia",-21.7333,-65.8167,4
1880,1763,Argentina-Uruguay Border (Rio de la Plata [Territorial Waters]),Midpoint of shared (territorial water) border,-55.7852,-35.7084,5,ArcGIS and Marine Regions,Point along a line,,181170,Rio de la Plata,"Rio de la Plata, Mexico",20.55,-104.833,4
1881,228,"Tunis, Tunisia","Tunis, Tunisia",10.1815,36.8065,8,latlong.net,Capital,,76658,Tunisia,Tunis,36.8028,10.1797,5
1881,506,Vietnam,Centroid of ADM0,106.68,16.4667,6,ArcGIS and cShapes,State,Uses 1975 data,105971,"Tongking, Annam","Tongking, Vietnam",22,105,1
1881,1637,Venezuela,Midpoint of coastline,-63.8722,10.6422,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,114270,,venezuela cost,10.23,-64.71,4
1882,507,"Hanoi, Vietnam","Hanoi, Vietnam",105.834,21.0278,2,latlong.net,Near,,98769,"Hanoi, Gulf of Tonkin","Hanoi, Vietnam",21.0333,105.85,2
1882,1531,"Port Au Prince, Haiti","Port Au Prince, Haiti",-72.3074,18.5944,1,latlong.net,Precise location text,,102733,"Port-au-Prince, Haiti",Port-au-Prince,18.5392,-72.335,1
1882,1571,"Karalli, Turkey","Karalli, Turkey",33.8694,40.2848,1,latlong.net,Precise location text,,71585,Karalih,"Karalli, Turkey",40.3,33.8833,1
1882,2202,"Seoul, South Korea","Seoul, South Korea",126.978,37.5665,1,latlong.net,Precise location text,,74971,"Seoul, Korea",Seoul,37.5664,127,1
1882,3725,Egypt,Centroid of ADM0,29.872,26.4943,6,ArcGIS and cShapes,State,Uses 1946 data,91737,,egypt,21.87,32.55,5
1883,65,Danube River,Midpoint of river,22.3676,44.6953,5,ArcGIS and Natural Earth Data,Point along a line,,65162,Danube region,"Belgrade, Yug",44.8119,20.4656,3
1883,202,"Beijing, China","Beijing, China",116.407,39.9042,8,latlong.net,Capital,,72150,China,Beijing,39.9289,116.388,5
1883,1517,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1883,1683,"Ile de la Tortue, Haiti","Ile de la Tortue, Haiti",-72.7925,20.0549,2,latlong.net,Island,,100572,"Tortugo Island, Haiti",Ile de la Tortue,20.05,-72.95,3
1884,1486,"Seoul, South Korea","Seoul, South Korea",126.978,37.5665,1,latlong.net,Precise location text,,74971,"Seoul, Korea",Seoul,37.5664,127,1
1884,1515,Chile-Peru Border,Midpoint of shared (national) border,-69.7861,-18.0145,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,156022,Chile Peru border,mid pt of border,-18.2872,-69.8347,4
1884,1516,Bolivia-Peru Border,Midpoint of shared (national) border,-69.1355,-14.5016,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,150979,Peru Bolivian border,"La Paz, Bolivia",-16.5,-68.15,4
1885,119,"Panjdeh, Afghanistan","Panjdeh, Afghanistan",61.5667,31.7333,1,latlong.net,Precise location text,,83801,"Penjdeh,Afghanistan",Vakhan,36.9167,72.3,3
1885,1488,Korea,Centroid of ADM0,127.463,38.5208,6,ArcGIS and cShapes,State,Uses 1949 data,73532,,korea,38.68,127.45,5
1885,1535,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109258,,gua-sal border,14.173,-89.519,4
1885,1764,"Buenaventura, Colombia","Buenaventura, Colombia",-77.0197,3.88305,1,latlong.net,Precise location text,,124403,"Buenaventura, Colombia",Buenaventura,10.1,-75.05,1
1885,2170,Benin-Togo Border,Midpoint of shared (national) border,1.62585,8.67489,5,ArcGIS and cShapes,Point along a line,Uses 1960 data,117041,Togo and Dahomey,"Grand Popo, Benin",6.28333,1.83333,5
1885,2836,Greece (Epirus [ADM1]),Centroid of ADM1,21.1384,39.9875,4,ArcGIS and GADM,ADM1,,72360,"Epirus, Greece",Epirus,39.6667,20.6667,1
1886,96,Rio-Antirio Bridge,Rio-Antirio Bridge,21.7737,38.3206,2,latlong.net,Near,,74521,,entry to corinthian straits,38.24,21.47,4
1886,1542,"Tampico, Mexico","Tampico, Mexico",-97.8611,22.2331,1,latlong.net,Precise location text,,97802,"Tampico, Mexico",Tampico,21.6667,-98.65,1
1886,1639,Guyana-Venezuela Border,Midpoint of shared (national) border,-60.4302,6.93136,5,ArcGIS and cShapes,Point along a line,Uses 1966 data,120037,Venezuela British Guana border,"Bochinche, Venezuela",7.56667,-60.7333,4
1886,2128,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637,5,MIDLOC1.1 and latlong.net,Point along a line,,166126,Rio Paraguay,"Asuncion, Paraguay",-25.2667,-57.6667,4
1887,91,"Ankara, Turkey","Ankara, Turkey",32.8597,39.9334,8,latlong.net,Capital,,72303,Turkey,Ankara,39.935,32.8642,5
1887,1601,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637,5,MIDLOC1.1 and latlong.net,Point along a line,,166126,Rio Paraguay,"Asuncion, Paraguay",-25.2667,-57.6667,4
1887,2369,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,58653,France-near German border,"Strasbourg, France",48.5833,7.75,4
1887,3136,Haiti Territorial Waters,Centroid of territorial waters,-73.2248,18.1112,3,ArcGIS and Marine Regions,Territorial waters,,103451,Waters of Haiti,Port-au-Prince,18.5392,-72.335,5
1888,191,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1888,212,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1888,1530,Haiti (Artibonite [ADM1] and Ouest [ADM1]),Centroid of > ADM1,-35.7504,23.9482,5,ArcGIS and GADM,> ADM1,Dual event; Contiguous ADM1s,95446,"Port of St.Marc, Port au Prince",Port-au-Prince,18.5392,-72.335,1
1888,1739,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728,4,ArcGIS and GADM,ADM1,,73083,Thessaly,"Larissa, Greece",39.6333,22.4167,3
1889,9,Mozambique Territorial Waters,Centroid of territorial waters,36.9704,-18.1918,3,ArcGIS and Marine Regions,Territorial waters,,155835,Waters off Mozambique,Maputo,-25.9653,32.5892,4
1889,1599,Haiti,Centroid of ADM0,-72.6795,18.9416,6,ArcGIS and cShapes,State,Uses 1946 data,102732,,haiti,19.11,-72.54,5
1890,1534,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109258,Guatemalan-Salvadoran border,"Ahuachapan, El Sal",13.9167,-89.85,4
1890,1642,Eritrea-Sudan Border,Midpoint of shared (national) border,36.9388,16.677,5,ArcGIS and cShapes,Point along a line,Uses 1993 data,105431,"Atbara River, Sudan/Eritrea Border","Atbara River, Eritrea",17.6667,33.9667,4
1890,2046,Guatemala,Centroid of ADM0,-90.3562,15.7021,6,ArcGIS and cShapes,State,Uses 1946 data,107097,Guatemalan coast,mid pt of coastline,13.77,-91.2283,4
1891,1512,"Valaparaiso, Chile","Valaparaiso, Chile",-71.6127,-33.0472,1,latlong.net,Precise location text,,177618,Valaparaiso Chile,Valparaiso,-33.0478,-71.6011,1
1891,1529,"Port-au-Prince, Haiti","Port-au-Prince, Haiti",-72.3074,18.5944,8,latlong.net,Capital,,102733,Haiti,Port-au-Prince,18.5392,-72.335,5
1891,1643,Chile,Centroid of ADM0,-71.374,-37.8525,6,ArcGIS and cShapes,State,Uses 1946 data,184099,,chile,-38.15,-72.04,5
1891,2127,"Oriente Forest, Ecuador","Oriente Forest, Ecuador",-77.0104,-0.734,5,latlong.net,> ADM1,,130883,"Rio Napo, Oriente","Oriente, Ecuador",-2,-77,3
1891,3249,China (Kashgar [ADM2]),Centroid of ADM2,77.2248,38.187,3,ArcGIS and GADM,ADM2,,74392,"Kaxgar area, China",Kaxgar,39.4833,75.9667,3
1893,196,"Bangkok, Thailand","Bangkok, Thailand",100.502,13.7563,1,latlong.net,Precise location text,,109639,.,Bangkok,13.91,100.61,1
1893,1541,Mexico-United States (Texas [ADM1]) Border,Midpoint of shared (subnational) border,-101.37,29.6701,5,ArcGIS and GADM,Point along a line,,86995,Texas border,"Ciudad Acuna, Mexico",29.3,-100.917,4
1893,1581,"Melilla, Spain","Melilla, Spain",-2.9381,35.2923,2,latlong.net,Near,,78872,Near Melilla in Morocco,"Melilla, Spain",35.3167,-2.95,2
1893,1596,"Oriente, Ecuador","Oriente, Ecuador",-77,-2,5,MIDLOC1.1,> ADM1,,133044,Oriente,"Oriente, Ecuador",-2,-77,1
1893,2300,"Waima, Sierra Leone","Waima, Sierra Leone",-10.7824,8.63737,1,latlong.net,Precise location text,,117016,"Waima, Siera Leone",Waima,8.75,-11.2333,1
1894,1490,Peru,Centroid of ADM0,-74.3756,-9.16376,6,ArcGIS and cShapes,State,Uses 1946 data,143049,,peru,-16.7,-70.25,5
1895,14,Constantinople,"Istanbul, Turkey",28.9784,41.0082,1,latlong.net,Precise location text,,70135,Constantinople,"Istanbul, TUR",41.0186,28.9647,1
1895,106,Japan (Hokkaido)-Russia (Sakhalin) Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,,63482,,between sakhalin and hokkaido,45.71,142.11,5
1895,1644,Dominican Republic,Midpoint of coastline,-68.5066,18.7553,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,102740,,md point of dom coast,18.67,-68.26,4
1895,1645,Ilhe de Trindade,Ilhe de Trindade,-29.3308,-20.5081,2,latlong.net,Island,,159543,Trinidad Island off Brazilian coast,"Trinidad Island, Brazil",-20.525,-29.325,3
1895,1646,Brazil (Amapa [ADM1]),Centroid of ADM1,-51.961,1.44004,4,ArcGIS and GADM,ADM1,,127894,"Amapa region, Brazil",Amapa,1,-52,3
1895,3232,Caribbean Sea,Caribbean Sea,-74.9676,14.5401,5,latlong.net,Sea,,108488,Caribbean Sea,Caribbean Sea,15,-75,5
1896,152,Benin-Nigeria Border,Midpoint of shared (national) border,3.13833,9.21593,5,ArcGIS and cShapes,Point along a line,Uses 1960 data,116324,Nigeria-Dahomey border,"parakou, benin",9.35,2.61667,4
1896,1569,"Iraklion, Greece","Iraklion, Greece",25.1442,35.3387,8,latlong.net,Capital,,78768,Crete,"Iraklion, Greece",37.8,22.7167,5
1896,1647,Brazil (Amapa [ADM1]),Centroid of ADM1,-51.961,1.44004,4,ArcGIS and GADM,ADM1,,127894,"Amapa Region, Brazil",Amapa,1,-52,3
1896,1648,"Port Au Prince, Haiti","Port Au Prince, Haiti",-72.3074,18.5944,1,latlong.net,Precise location text,,102733,"Port-au-Prince, Haiti",Port-au-Prince,18.5392,-72.335,1
1896,2343,"Puerto Cabello, Venezuela","Puerto Cabello, Venezuela",-68.0299,10.4698,1,latlong.net,Precise location text,,114981,"Puerto Cabello, Venezuela",Puerto Cabello,10.4731,-68.1667,1
1896,2837,Greece,Midpoint of coastline,23.1314,37.79,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,75244,,md point of GRE coast,36.63,23.17,4
1897,16,Japan-South Korea Border (Territorial Waters),Midpoint of shared (territorial water) border,129.143,34.7672,5,ArcGIS and Marine Regions,Point along a line,,79296,,straits between jap and kor,35.33,130.38,5
1897,43,"Jiaozhou, China","Jiaozhou, China",120.006,36.2859,1,latlong.net,Precise location text,,77198,Kiaochau,"Kiachow, China",38.0258,110.48,1
1897,56,Aegean Sea,Aegean Sea,25.2686,39.0192,5,latlong.net,Sea,,73008,,md point of aegean sea,38.96,25.11,5
1897,1513,"Puna de Atacama, Argentina","Puna de Atacama, Argentina",-67,-25,5,latlong.net,> ADM1,,166108,"Puna de Atacama, Argentina",Puna de Atacama,-25,-67,1
1897,1649,"Lourenco Marques, Mozambique","Lourenco Marques, Mozambique",32.6051,-25.892,1,latlong.net,Precise location text,,166627,"Lourenco Marques, Mozambique",Lourenco Marques,-25.9653,32.7,1
1898,77,"Kodok, Sudan","Kodok, Sudan",32.1093,9.89407,1,latlong.net,Precise location text,,115502,"Fashoda, Sudan",Fashoda,9.88333,32.1167,1
1898,309,China Territorial Waters,Centroid of territorial waters,120.175,25.5996,3,ArcGIS and Marine Regions,Territorial waters,,92318,Chinese coast,"Hsiamen, China",27.1,120.317,4
1898,378,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509,3,ArcGIS and GADM,ADM2,,67202,Ili Valley,"Ili, Kazakhstan",45.4,74.1333,3
1898,379,"Kwangchow Wan, China","Kwangchow Wan, China",113.245,23.1448,1,latlong.net,Precise location text,,95904,Kuangchow,"Kwangchow Wan, China",21.1,110.467,1
1898,391,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1898,1557,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,96313,Cuba,Havana,23.1319,-82.3642,5
1898,2341,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1899,131,North Korea-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,130.792,42.2199,5,ArcGIS and Marine Regions,Point along a line,,68499,,usr/kor border-by coast,42.297,130.633,2
1899,237,Delagoa Bay,Delagoa Bay,32.7633,-26.0828,3,latlong.net,Bay,,167347,Delagoa Bay,"Delagoa Bay, Mozambique",-25.9833,32.7,3
1899,511,China (Zhejiang [ADM1]),Centroid of ADM1,120.089,29.1795,4,ArcGIS and GADM,ADM1,"Chekiang is a historic province, now appears to be contained in Zhejiang ADM1",87278,"Savman Bay, Chekiang Province","Chekiang Province, China",29,120,3
1899,1597,"Amazon Basin, Brazil","Amazon Basin, Brazil",-61.6784,-1.6566,5,latlong.net,> ADM1,,132274,Amazon Basin,"Amazon Basin, Brazil",-2.5,-60,4
1900,31,Manuchurian Empire,Centroid of ADM0,105.7,37.33,6,MIDLOC1.1,State,,75729,,md point of manchurian empire,37.33,105.7,5
1900,68,Dominican Republic,Midpoint of coastline,-68.5066,18.7553,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,102740,,md point of dom coast,18.67,-68.26,4
1900,1093,Sena Ultima Esperanza,Sena Ultima Esperanza,-73.103,-51.475,2,latlong.net,Near,,203535,Sena Ultima Esperanza,"Esperanza, Arg",-26.0167,-54.65,1
1900,1174,Colombia-Venezuela Border,Midpoint of shared (national) border,-69.9777,6.80034,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,120018,Colombian Venezuelan border,"Culebra, Col",11.15,-74.1167,4
1900,3250,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,63451,Manchuria,"Harbin, China",45.75,126.65,3
1901,1120,"Rio Bachelor, Chile","Rio Bachelor, Chile",-72.3097,-53.5603,5,Geonames.org and latlong.net,Point along a line,,207137,Rio Massacre,"Rio de Massacre, Chile",-53.5667,-72.3167,4
1901,1145,"Oriente, Peru","Oriente, Peru",-80.6808,-4.87778,1,Geonames.org and latlong.net,Precise location text,,136636,Oriente,"Oriente, Peru",-3.37305,-72.0392,1
1901,2338,"Caracas, Venezuela","Caracas, Venezuela",-66.9036,10.4806,8,latlong.net,Capital,,114984,Venezuela,Caracas,10.5,-66.9167,5
1902,2,Canada-United States (Alaska [ADM1]) Border,Midpoint of shared (subnational) border,-138.67,59.8283,5,ArcGIS and GADM,Point along a line,,43868,Alaska-Canadian border,"Juneau, Alaska",58.5092,-134.689,4
1902,254,Venezuela,Midpoint of coastline,-63.8722,10.6422,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,114270,,venezuela cost,10.23,-64.71,4
1902,1163,Purus River,Midpoint of river,-65.9797,-7.68151,5,ArcGIS and Natural Earth Data,Point along a line,,140906,Yurua and Purus River regions,"Purus River, Brazil",-3.7,-61.4667,4
1902,1178,Brazil (Acre [ADM1]),Centroid of ADM1,-70.4467,-9.30992,4,ArcGIS and GADM,ADM1,,143057,Acre,"Acre, Brazil",-9,-70,3
1902,2342,Colombia-Venezuela Border,Midpoint of shared (national) border,-69.9777,6.80034,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,120018,Colombian-Venezuelan border,"Culebra, Col",11.15,-74.1167,4
1902,3325,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482,3,latlong.net,Strait,,71570,"Dardanelles, Bosphorous",Dardanelles Strait,40.25,26.4167,4
1903,159,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238,8,latlong.net,Capital,,117198,Panama,panama city,8.96667,-79.5333,5
1903,180,"Lvshunkou, China","Lvshunkou, China",121.262,38.8517,1,latlong.net,Precise location text,,73600,,lushun (formerly port arthur),38.8,121.26,3
1903,2005,Brazil (Acre [ADM1]),Centroid of ADM1,-70.4467,-9.30992,4,ArcGIS and GADM,ADM1,,143057,Acre,"Acre, Brazil",-9,-70,3
1903,3301,Canada-United States (Alaska [ADM1]) Border,Midpoint of shared (subnational) border,-138.67,59.8283,5,ArcGIS and GADM,Point along a line,,43868,Alaska-Canadian border,"Juneau, Alaska",58.3289,-134.084,4
1903,3645,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,63451,Manchuria,"Harbin, China",45.75,126.65,3
1904,109,Austria-Italy Border,Midpoint of shared (national) border,12.215,47.0873,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,61542,Italian-Austrian Border,"Brennner Pass, Italy",47,11.5,4
1904,164,Morocco,Midpoint of coastline,-8.34876,33.3276,5,ArcGIS and cShapes,Point along a line,Uses 1958 data,81741,,md point MOR coast,33.72,-7.27,4
1904,242,Dogger Bank,Dogger Bank,3,55,3,latlong.net,Bank,,50072,"Dogger Bank, North Sea","Dogger Bank, North Sea",55,3,4
1905,128,Ottoman Empire,Midpoint of coastline,27.06,38.39,5,MIDLOC1.1,Point along a line,,74452,,md point of ottoman coast,38.39,27.06,4
1905,247,Dominican Republic Territorial Waters,Centroid of territorial waters,-70.0869,18.1209,3,ArcGIS and Marine Regions,Territorial waters,,103457,Coast off Dominican Republic,Santo Domingo,18.4667,-69.9,4
1905,310,Caribbean Sea,Caribbean Sea,-74.9676,14.5401,5,latlong.net,Sea,,108488,Caribbean Sea,Caribbean Sea,15,-75,5
1905,1650,China Territorial Waters,Centroid of territorial waters,120.175,25.5996,3,ArcGIS and Marine Regions,Territorial waters,,92318,Coast off China,Shanghai,31.2222,121.458,4
1905,2077,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,208586,Beagle Channel,"Beagle Channel, Arg",-54.8833,-68.1667,4
1906,156,"Taba, Egypt","Taba, Egypt",34.8969,29.4925,1,latlong.net,Precise location text,,87427,"Taba, border of Palestine and Sinai","Taba, Egypt",29.4864,34.9019,1
1906,1179,Pilcomayo River,Midpoint of river,-62.6244,-22.2771,5,ArcGIS and Natural Earth Data,Point along a line,,161796,Rio Pilcomayo,"Rio Pilcomayo, Bolivia",-19.3833,-65.8833,4
1906,1205,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,109258,,gua-sal border,14.173,-89.519,4
1906,2321,"Puerto Heath, Bolivia","Puerto Heath, Bolivia",-68.6384,-12.5071,2,latlong.net,Near,,148100,Madre de Dios area near Puerto Heath,"Puerto Heath, Bolivia",-12.5,-68.6667,2
1907,86,Morocco,Midpoint of coastline,-8.34876,33.3276,5,ArcGIS and cShapes,Point along a line,Uses 1958 data,81741,,md point MOR coast,33.72,-7.27,4
1907,1094,"Isla de Martin Garcia, Argentina","Isla de Martin Garcia, Argentina",-58.2491,-34.1825,2,latlong.net,Island,,179085,Martin Garcia Island,"Isla de Martin Garcia, Argentina",-34.1875,-58.2811,3
