StateA,StateB,StartDate,EndDate,StartYear,StartMonth,EndYear,EndMonth,Type,Notes
640,651,1958-02-01,1961-09-01,1958,02,1961,09,1,Through Syria (merged with EGY from 1958-61); ends when Syria ends merger with EGY
640,651,1961-09-01,2016-12-01,1961,09,2016,12,5,Across Mediterranean Sea; sea contiguity resumes after SYR leaves merger
640,652,1946-04-01,1958-02-01,1946,04,1958,02,1,Begins with SYR system entry; ends when SYR merges with EGY
640,652,1961-09-01,2016-12-01,1961,09,2016,12,1,Resumes after SYR leaves merger with EGY
640,660,1946-03-01,2016-12-01,1946,03,2016,12,4,Across Mediterranean Sea; begins with LEB system entry
640,666,1948-05-01,2016-12-01,1948,05,2016,12,5,Across Mediterranean Sea; begins with ISR system entry
645,651,1958-02-01,1961-09-01,1958,02,1961,09,1,Through Syria (merged with EGY from 1958-61); ends when Syria ends merger with EGY
645,652,1946-04-01,1958-02-01,1946,04,1958,02,1,Begins with SYR system entry; ends when SYR merges with EGY
645,652,1961-09-01,2016-12-01,1961,09,2016,12,1,Resumes after SYR leaves merger with EGY
645,663,1946-03-01,2016-12-01,1946,03,2016,12,1,Begins with JOR system entry
645,670,1932-10-01,2016-12-01,1932,10,2016,12,1,Begins with IRQ system entry
645,690,1961-06-01,2016-12-01,1961,06,2016,12,1,Begins with KUW system entry
645,692,1971-08-01,2016-12-01,1971,08,2016,12,5,Across Persian Gulf; begins with BAH system entry
645,694,1971-09-01,2016-12-01,1971,09,2016,12,5,Across Persian Gulf; begins with QAT system entry
651,652,1946-04-01,1958-02-01,1946,04,1958,02,5,Across Mediterranean Sea; begins with SYR system entry; ends when SYR merges with EGY
651,652,1961-09-01,2016-12-01,1961,09,2016,12,5,Across Mediterranean Sea; resumes after SYR leaves merger with EGY
651,660,1946-03-01,1958-02-01,1946,03,1958,02,5,Across Mediterranean Sea; begins with LEB system entry; sea border replaced by land border when SYR merges with EGY
651,660,1958-02-01,1961-09-01,1958,02,1961,09,1,Through Syria (merged with EGY from 1958-61); ends when Syria ends merger with EGY
651,660,1961-09-01,2016-12-01,1961,09,2016,12,5,Across Mediterranean Sea; sea contiguity resumes after SYR leaves merger
651,663,1946-03-01,1958-02-01,1946,03,1958,02,2,Across Gulf of Aqaba (through Sinai Peninsula); begins with JOR system entry; sea border replaced by land border when SYR merges with EGY
651,663,1958-02-01,1961-09-01,1958,02,1961,09,1,Through Syria (merged with EGY from 1958-61); ends when Syria ends merger with EGY
